fM,fPt
1.9034896,2.834563
2.0312002,3.0306995
1.9110769,2.9377224
1.9192971,3.1377542
1.7715558,3.070192
1.9775753,2.9825222
1.8548242,2.8056056
1.7837225,2.9554412
1.8264557,2.8048396
1.8695621,3.0030203
2.0596673,3.107937
1.7079737,2.904688
1.8180966,2.804616
1.7203356,2.9170568
1.7722776,2.9170568
1.8789889,2.8557591
2.0072434,2.979008
1.7768092,3.0486138
1.7190142,2.830365
1.7681837,2.8220012
1.7743239,2.8508644
1.7523739,2.8064864
1.8557357,2.8064864
2.0220308,3.1279764
1.7337637,3.0284479
1.7811292,2.8450847
1.8011918,2.8715274
1.8757893,2.916071
1.9651622,2.9962108
1.8926822,2.9714375
1.8861113,2.8116343
1.8431866,3.0709758
1.7210422,2.8934133
1.6960912,2.8292575
1.9322351,2.9258509
2.016516,2.9756174
1.6703082,3.0640333
1.6938878,2.9270172
1.9055941,2.9615898
1.7021419,2.9089854
1.900371,3.0832798
1.847328,2.9188175
1.8554853,3.0615184
1.9168403,2.806798
1.9985169,3.1745384
1.8273709,3.1447325
1.8016993,2.8632946
1.7699871,2.9726427
1.8606968,2.861204
1.779224,3.166429
1.6959536,3.1890254
1.7083417,2.8528528
1.8863997,3.1210008
2.057821,3.1878219
1.9705682,2.8988602
1.6860883,3.1429403
1.9466693,2.847432
1.8069564,2.8710399
1.6755137,2.949546
1.7508128,3.1511693
1.9878328,3.1267483
1.8346256,2.8334439
1.7503818,3.013899
1.8090955,2.9777079
1.8147122,3.1976156
1.8366197,3.1892245
1.8911283,2.978038
2.0195873,2.818129
1.9141538,3.1497724
2.0406442,2.8337727
1.704214,3.0964568
2.0351627,3.088921
1.7971449,2.9810789
1.8499705,2.8672788
1.6751455,2.95876
1.7840816,2.8280985
1.9520164,2.8597462
1.9973472,3.166573
1.8608011,2.8587742
1.8591603,3.1160533
1.9715352,2.9296796
1.8864399,3.1831892
1.794757,3.1755252
1.8129483,2.9911873
1.7405803,3.0431461
1.8058635,2.9318073
1.6771231,2.92761
1.7680255,3.0911727
1.6835624,3.0735002
1.9115837,2.9515011
1.6881365,3.1708953
1.8699843,3.1708953
1.8395855,2.842802
1.9423811,2.8423069
1.831772,3.1283631
1.8506762,2.8934271
1.7293714,2.9022334
1.9406087,2.8236933
1.816836,3.1500907
1.7842383,3.1193242
1.8827322,2.9973657
1.9029363,3.1877973
1.6904994,3.03621
1.8648044,2.8106644
1.8924903,2.9675124
1.7704659,3.1903796
1.7303063,2.851779
1.712996,2.969272
