fM,fPt
2.4669197,2.5569894
2.2321596,2.5846019
2.3241503,2.5735295
2.1146283,2.6393828
2.4638655,2.5128477
2.3868258,2.5326824
2.1554859,2.6834807
2.1221883,2.6775687
2.150177,2.5869486
2.3646362,2.563296
2.2684767,2.682878
2.1108503,2.5765538
2.2526927,2.576053
2.112747,2.6374488
2.1293101,2.588168
2.1672196,2.5771573
2.3198953,2.549615
2.3400862,2.5727339
2.1381838,2.5498824
2.224928,2.572172
2.163526,2.6884623
2.2845635,2.575071
2.155807,2.5625532
2.1020591,2.626752
2.4404278,2.6855974
2.2397773,2.5130491
2.3084888,2.664182
2.1163666,2.612293
2.4342318,2.632438
2.2489798,2.5228214
2.377827,2.5394604
2.118057,2.571897
2.4165177,2.5092535
2.1844788,2.571478
2.1948235,2.6476212
2.101763,2.555282
2.4569368,2.6494732
2.158136,2.5647037
2.2622468,2.6252792
2.2343528,2.5089629
2.1476529,2.6132984
2.1637113,2.5296733
2.49082,2.5941606
2.4387658,2.5941606
2.4936259,2.6474943
2.2819333,2.6931057
2.1414196,2.6993315
2.244937,2.6555238
2.1153486,2.6076698
2.1793296,2.5480223
2.2572875,2.6644773
2.1088126,2.5682867
2.2680562,2.6921706
2.4853477,2.5392985
2.1330202,2.5385823
2.2465563,2.5384831
2.343395,2.5951447
2.165759,2.5382247
2.220119,2.5781636
2.1475368,2.642233
2.1348078,2.6097963
2.2961826,2.666138
2.1334534,2.5333138
2.2669106,2.6840982
2.3208396,2.5494046
2.246129,2.648356
2.2796555,2.6013684
2.2187552,2.5229957
2.192142,2.5506647
2.1705077,2.525963
2.1587527,2.6008043
2.1997561,2.5986454
2.2575107,2.6994991
2.178421,2.630866
2.1511228,2.6654036
2.241689,2.6931405
2.1506236,2.6436899
2.1355877,2.5260785
2.154597,2.6832933
2.279241,2.6984627
2.370142,2.6147716
2.2965837,2.5928369
2.1354675,2.5042799
2.2813787,2.5707276
2.3563266,2.6058216
2.2988951,2.623783
2.142601,2.5100758
2.2872927,2.648904
2.248016,2.6701448
2.3135602,2.5057347
2.3215244,2.6801367
2.4719615,2.561343
2.1163244,2.5484788
2.2267113,2.6554914
2.2027857,2.528644
2.1150331,2.6834943
2.2117264,2.5334737
2.51853,2.6338446
2.5243382,2.554763
2.3472989,2.635933
2.2465224,2.610932
2.5401707,2.5441244
2.285752,2.6722732
2.34498,2.5498927
2.2934802,2.5978215
2.4089515,2.683767
2.1495605,2.6475267
2.425083,2.5118134
2.242888,2.5031652
2.113356,2.5662017
2.5120418,2.5342548
2.5050223,2.5098958
2.5247493,2.6735356
2.2760966,2.661849
2.2773995,2.6907318
2.1080735,2.606879
2.1785774,2.6662943
2.3269975,2.545183
2.219706,2.5095096
2.3415132,2.6356397
2.2932284,2.501285
2.1415727,2.5748842
2.1187153,2.5141225
2.1946318,2.5144336
2.380504,2.5852172
2.2212832,2.634842
2.2408204,2.6607218
2.2250226,2.5319843
2.1489053,2.6410208
2.1653419,2.6321297
2.3486085,2.642671
2.180529,2.5047567
2.1582036,2.6583407
2.3544624,2.5698214
2.1312273,2.6586373
2.3218164,2.6206818
2.3851266,2.5568132
2.1099446,2.6712909
2.1895716,2.5655901
2.1276727,2.6725335
2.111813,2.674865
2.1392152,2.6391606
2.1055982,2.5396862
2.117803,2.6656764
2.168545,2.6539013
2.2444258,2.6443968
2.140434,2.6936443
2.2059202,2.6114953
2.109482,2.5660594
2.3488595,2.5136654
2.2208366,2.5879629
2.4708092,2.6850731
2.2027824,2.5245204
2.2062497,2.6520767
2.223989,2.6786067
2.157648,2.6210363
2.1858606,2.6535242
2.1084619,2.5030055
2.2318249,2.505312
2.1883333,2.628498
2.1863852,2.6522274
2.33292,2.68142
2.2939734,2.6118581
2.1209645,2.578812
2.1927955,2.5336053
2.3495958,2.529979
2.1674013,2.6343703
2.3562107,2.640841
2.509023,2.6703415
2.1106746,2.6478746
2.3627326,2.5063457
2.228772,2.5049653
2.2393258,2.6515625
2.1530862,2.608331
2.2783935,2.666563
2.2148335,2.5428429
2.1479394,2.536565
2.395373,2.6809058
2.3465543,2.5198693
2.4160986,2.6803772
2.2947881,2.6319788
2.1667116,2.6598167
2.2775164,2.5869234
2.273324,2.5770957
2.1347356,2.6669402
2.2383232,2.500226
2.3206797,2.6337008
2.2604527,2.5396047
2.1239512,2.6301675
2.3098316,2.6845737
2.2269485,2.5881984
2.2067304,2.6269069
2.234165,2.6542375
2.1016011,2.550907
2.178771,2.6952913
2.1423757,2.5250266
2.2859173,2.520406
2.1217327,2.5243185
2.1770997,2.587109
2.105193,2.609002
2.2752032,2.5297604
2.1732235,2.6901274
2.3187385,2.5730278
2.2189674,2.5015116
2.2308476,2.6541038
2.1506176,2.5780873
2.1025453,2.5213113
2.2222216,2.5734618
2.1924531,2.610845
2.112491,2.612531
2.3027632,2.6856148
2.3538816,2.6862419
2.2491367,2.5487173
2.1191065,2.6160884
2.1088452,2.6308663
2.1530914,2.6953933
2.2333255,2.5185463
2.3662608,2.5832891
2.1603675,2.565667
2.289797,2.6294875
2.189802,2.6787627
2.3093822,2.62131
2.2018986,2.6986847
2.2100186,2.5363252
2.2203352,2.6832762
2.1007369,2.5593526
2.2340508,2.5231059
2.4848697,2.6176133
2.4499264,2.5813825
2.3153775,2.5415332
2.37887,2.670424
2.4303644,2.6617978
2.4574263,2.6244407
2.382821,2.6045904
2.1884878,2.5031798
2.4852467,2.6306832
2.104265,2.6764834
2.1295364,2.6095002
2.1873434,2.5828824
2.1187959,2.517071
2.2383523,2.633346
2.3532221,2.574994
2.3178449,2.5639997
2.465928,2.501063
2.1134663,2.5105126
2.241849,2.653818
2.2204187,2.5944078
2.1452298,2.6432788
2.2660956,2.5812526
2.1378777,2.6117802
2.2558057,2.6635997
2.1461813,2.581173
2.322966,2.6434004
2.4453435,2.6172538
2.1925194,2.6723769
2.1162367,2.6830065
2.3511715,2.5700376
2.4214451,2.5563853
2.3540652,2.5211287
2.1302583,2.5893242
2.1517386,2.5699599
2.2822342,2.636764
2.1361923,2.6833
2.4436827,2.6663034
2.4802153,2.6954134
2.129694,2.6756852
2.456332,2.5424974
2.438935,2.6338112
2.14086,2.613362
2.1692863,2.6073568
2.1643884,2.6618004
2.1777654,2.6996052
2.3943799,2.6406634
2.2029994,2.6178138
2.3972871,2.5081027
2.1421773,2.5000618
2.3019385,2.6160638
2.2827585,2.6631782
2.3110435,2.511117
2.4738564,2.516374
2.4431574,2.510881
2.3925133,2.6343641
2.1600928,2.5845723
2.2251246,2.6020803
2.3761094,2.6658096
2.1505558,2.532312
2.360709,2.646638
2.1881492,2.5374377
2.3096642,2.5853398
2.4110289,2.5814435
2.2443564,2.535284
2.1867166,2.646566
2.174403,2.5339696
2.2384439,2.550739
2.1243327,2.5113928
2.3303142,2.6260095
2.181857,2.655717
2.1908367,2.54393
2.1063104,2.592208
2.1688743,2.540669
2.3528378,2.6573918
2.340734,2.6178942
2.301474,2.607125
2.2597444,2.567526
2.293622,2.634953
2.1484241,2.6215265
2.1231518,2.6905825
2.2423713,2.5009146
2.1581426,2.5942962
2.531823,2.5734892
2.1700585,2.6683452
2.1176589,2.6102211
2.1544847,2.5920758
2.1771955,2.6547415
2.407534,2.5228934
2.2629437,2.6510751
2.411483,2.554112
2.122665,2.6574757
2.1219864,2.6667647
2.2334654,2.58062
2.2613997,2.6421099
2.110338,2.6829214
2.1231568,2.6682696
2.368239,2.533243
2.1093006,2.5471306
2.2773168,2.6924536
2.4779801,2.5912526
2.3274448,2.5659559
2.1382902,2.528288
2.293797,2.550722
2.21496,2.6280074
2.498497,2.5891805
2.1345208,2.542459
2.1057467,2.596004
2.1071076,2.5093412
2.1155136,2.6940465
2.1096976,2.6170619
2.255979,2.50752
2.144693,2.5323098
2.1220608,2.5103567
2.155752,2.6697707
2.3546994,2.6560977
2.3595378,2.6993458
2.1017346,2.6091228
2.4491704,2.5231667
2.1634688,2.5035672
2.138434,2.6308138
2.2440844,2.5621636
2.1250522,2.6338148
2.3472571,2.5674984
2.1953266,2.6013274
2.1063464,2.506544
2.49795,2.6580842
2.3998966,2.6626832
2.1978724,2.6241162
2.3487115,2.633867
2.1980917,2.6214154
2.1802585,2.6189644
2.2474465,2.548036
2.2648358,2.5668814
2.3635054,2.53352
2.2858582,2.5961268
2.2692053,2.567194
2.1474407,2.5981438
2.431428,2.5006413
2.3628783,2.657122
2.3311658,2.6788194
2.2879624,2.6590297
2.2732053,2.5335917
2.230645,2.5036457
2.159758,2.5749867
2.197595,2.5678213
2.3027492,2.5152862
2.3020325,2.6764123
2.1273477,2.6087363
2.101248,2.619022
2.2052917,2.5741248
2.2648025,2.6169486
2.1211426,2.559357
2.191426,2.5187
2.177883,2.6058424
2.5212002,2.6781409
2.1917315,2.504599
2.2525437,2.531889
2.2038202,2.6642065
2.238579,2.5333264
2.1471703,2.672582
2.4173918,2.5735855
2.133055,2.5920055
2.2644367,2.5313969
2.4005034,2.6292698
2.3039184,2.6673977
2.1014488,2.683086
2.5141487,2.638931
2.1413732,2.6260629
2.293945,2.55468
2.1097226,2.6073768
2.218374,2.6362355
2.129316,2.6950471
2.4581978,2.5748234
2.2116184,2.510257
2.326312,2.5931938
2.3795543,2.5735652
2.2272394,2.6186533
2.335246,2.55311
2.1425617,2.6264274
2.2401314,2.5143816
2.1340058,2.62253
2.1266022,2.5162265
2.214156,2.5154302
2.2708702,2.6493354
2.5023863,2.651233
2.250576,2.648548
2.1472497,2.695269
2.3012235,2.5253232
2.2733202,2.5415835
2.2753105,2.6179063
2.2700481,2.6873689
2.2590425,2.6941013
2.3118052,2.638148
2.463924,2.6519358
2.2042851,2.5940382
2.3690128,2.5162604
2.2195146,2.6490352
2.3575556,2.6339045
2.1024861,2.6963146
2.231422,2.5265927
2.176672,2.624204
2.104117,2.6869082
2.3806825,2.5297534
2.221875,2.5104406
2.2492952,2.602202
2.348276,2.6828272
2.1683376,2.691591
2.1805117,2.6379702
2.232121,2.5158572
2.3265598,2.6808612
2.4889717,2.5471592
2.3383157,2.5440066
2.121761,2.5143125
2.2264922,2.5117269
2.1374593,2.5912945
2.1851614,2.528795
2.310155,2.550701
2.304281,2.642002
2.2578523,2.528153
2.3287911,2.6588414
2.4439027,2.591948
2.1654904,2.678695
2.258223,2.6186373
2.1124241,2.6413422
2.316484,2.5755084
2.342594,2.5688322
2.2520545,2.5304072
2.320838,2.6117833
2.1535017,2.5808754
2.352907,2.6350284
2.1198354,2.5453074
2.149304,2.6654112
2.2883344,2.5898244
2.3293605,2.6943982
2.1668062,2.5416112
2.1996226,2.6231394
2.106887,2.6368184
2.1924982,2.6818335
2.2391489,2.6570385
2.206594,2.5214913
2.1088154,2.5253253
2.1942775,2.6523101
2.2390616,2.6583285
2.3206449,2.6146255
2.1115475,2.6046622
2.1336827,2.651532
2.180651,2.583798
2.2260497,2.5118933
2.3398726,2.6005085
2.2571974,2.5621414
2.107448,2.6273048
2.4172695,2.6701174
2.3491383,2.54084
2.3581026,2.530738
2.1186578,2.6006975
2.5330117,2.5019062
2.2587445,2.6105063
2.1240957,2.5360959
2.202346,2.6355317
2.2314732,2.5286486
2.4720755,2.586487
2.1504424,2.6118317
2.219773,2.648837
2.1952991,2.69065
2.1999483,2.6083055
2.1179967,2.651121
2.1644888,2.67679
2.4573884,2.5720284
2.1836984,2.5599601
2.1927428,2.5890129
2.1010587,2.6785989
2.1097355,2.5747952
2.1566858,2.5190306
2.151773,2.5800235
2.1866977,2.5577917
2.1007793,2.538629
2.1052902,2.5688832
2.4708543,2.6147888
2.1346602,2.6615818
2.2316864,2.541867
2.1662552,2.6698647
2.431921,2.6399484
2.207511,2.620613
2.1197498,2.6398685
2.4562547,2.5104802
2.15604,2.6624851
2.2656908,2.5759325
2.1019435,2.5261648
2.1505766,2.510659
2.396662,2.6228848
2.1295986,2.5399203
2.2932498,2.696261
2.2534077,2.697072
2.2712681,2.646096
2.259037,2.532461
2.1313977,2.5123434
2.1827872,2.5729032
2.1596956,2.5949917
2.2347507,2.6692777
2.5242677,2.541685
2.5411334,2.5200098
2.3725624,2.5353491
2.5009568,2.559938
2.2818606,2.5571241
2.2571921,2.6436386
2.1077607,2.5394979
2.188073,2.698288
2.2904065,2.5762844
2.1950169,2.5683403
2.343354,2.5878727
2.4876835,2.508853
2.1035788,2.6813107
2.2082655,2.5681026
2.1479883,2.5523155
2.4206693,2.5156913
2.2235749,2.5586514
2.5325007,2.5722802
2.276223,2.5266201
2.216743,2.5821822
2.1439924,2.538178
2.5343611,2.5961354
2.175901,2.689037
2.211324,2.553845
2.2213817,2.5015166
2.1456559,2.581349
2.3518472,2.6700573
2.210294,2.520421
2.167262,2.596345
2.496115,2.5864627
2.109035,2.598536
2.1606157,2.6054199
2.4258044,2.5413754
2.295732,2.6630218
2.1521556,2.537373
2.2543602,2.6203823
2.1524572,2.5666468
2.1263466,2.5070186
2.3957224,2.5505857
2.283744,2.5503054
2.3178203,2.5464544
2.2527156,2.673787
2.3008642,2.5899186
2.1909456,2.5222285
2.2402122,2.5288963
2.264956,2.662351
2.1577826,2.5892947
2.1422844,2.549062
2.107207,2.6148858
2.3013203,2.5695202
2.1210618,2.5054846
2.1188955,2.5723069
2.237293,2.5090165
2.22735,2.699658
2.2251499,2.6413348
2.3173804,2.691507
2.254994,2.5690076
2.1655965,2.5605385
2.385163,2.578833
2.3556767,2.5857842
2.2786787,2.5446618
2.1145632,2.682053
2.2251527,2.5350244
2.4778283,2.6207113
2.2697802,2.6620054
2.3227015,2.5616682
2.1607344,2.5800261
2.4049835,2.5407693
2.291439,2.5905752
2.277146,2.504939
2.3122509,2.5211465
2.2590837,2.5616899
2.305707,2.6182039
2.1670976,2.6350932
2.2330208,2.51549
2.1491857,2.5448008
2.389244,2.524343
2.2897575,2.6423807
2.1343684,2.64802
2.1380801,2.51452
2.1043546,2.5702722
2.1040266,2.6419654
2.104804,2.6762125
2.1803439,2.5152347
2.1949174,2.6023645
2.200302,2.5163798
2.5341213,2.6986563
2.2889795,2.6793494
2.2872014,2.6600306
2.4595463,2.5320516
2.2004898,2.5754273
2.1704369,2.5617647
2.1845236,2.6033869
2.159769,2.6743095
2.1139677,2.6011112
2.163295,2.6467228
2.215085,2.6803653
2.1536584,2.5719423
2.2974508,2.5199523
2.1143339,2.553733
2.5348923,2.693893
2.1657999,2.5785367
2.3372512,2.575618
2.2853227,2.669128
2.173571,2.5140724
2.2599902,2.6244946
2.1891277,2.532248
2.1934223,2.5585887
2.2541165,2.6226218
2.3649504,2.64797
2.43167,2.6904087
2.348436,2.6784658
2.3571181,2.5598762
2.1105635,2.534363
2.533952,2.6195917
2.3945906,2.6323667
2.5165005,2.678628
2.1911418,2.682979
2.1865826,2.5718114
2.1066778,2.5607526
2.102478,2.6901946
2.1764927,2.6544893
2.2326336,2.502893
2.101372,2.5233998
2.272838,2.5598602
2.136429,2.5821145
2.2333786,2.695577
2.147381,2.6326518
